Id,state_code,latitude,longitude,zip_code,city,name,founded_at,closed_at,age_final,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,funding_rounds,funding_total_usd,milestones,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,status
454,CA,"33,756,806","-84,392,198",30303,Atlanta,Vitrue,01/05/2006,,6,01/05/2006,2/17/2011,0,5,4,"33,000,000",5,enterprise,0,0,1,1,1,0,3,acquired
369,TX,"33,749,099","-84,390,185",30305,Atlanta,Firethorn,01/01/2001,,11,01/03/2006,02/01/2007,5,6,3,"25,131,611",0,mobile,1,0,0,1,0,0,1,acquired
289,WA,"33,774,486","-84,385,448",30308,Atlanta,VT Silicon,01/01/2002,9/20/2010,10,12/09/2007,11/19/2008,5,6,2,"8,800,000",0,semiconductor,1,0,1,0,0,0,1,closed
177,CA,"33,776,834","-843,895,875",30308,Atlanta,GlobalCrypto,01/06/2006,06/07/2012,6,11/11/2008,11/11/2008,2,2,2,"1,000,000",0,software,1,1,0,0,0,0,2,closed
803,CO,"337,812,614","-8,436,756,170,000,000",30309,Atlanta,Vocalocity,01/01/2007,,5,1/28/2009,8/29/2011,2,4,2,"13,600,000",2,software,0,0,0,1,1,0,3,acquired
797,IL,"33,982,966,999,999,900","-84,346,041",30350,Atlanta,Prenova,01/01/2002,,10,10/05/2006,4/24/2008,4,6,3,"15,650,000",1,cleantech,1,0,0,0,0,0,1.3333,acquired
572,CA,"33,749,099","-84,390,185",30305,Atlanta,JouleX,01/01/2009,,3,10/06/2011,10/06/2011,2,2,1,"17,000,000",2,enterprise,1,0,0,0,0,0,5,acquired
503,CA,"302,350,399","-9,780,012,990,000,000",78735,Austin,Metreos Corporation,01/01/2001,,11,3/20/2003,10/14/2004,2,3,2,"4,355,000",3,software,0,1,1,0,0,0,1.5,acquired
625,CA,"30,321,464","-9,775,501",78731,Austin,Indeed,01/11/2004,,8,01/08/2005,01/08/2005,0,0,1,"5,000,000",5,web,0,0,1,0,0,0,3,acquired
355,CA,"30,268,236","-97,740,651",78701,Austin,Challenge Games,01/01/2006,,6,10/07/2008,01/09/2008,2,2,2,"14,500,000",3,network_hosting,0,0,1,1,0,0,1.5,acquired
510,WA,"3,035,504","-97,801,083",78730,Austin,Conformity,01/07/2007,01/01/2009,5,1/28/2009,1/28/2009,2,2,1,"3,000,000",2,enterprise,0,0,1,0,0,0,1,closed
145,CA,"302,729,209","-977,443,863",78701,Austin,Gowalla,8/28/2007,,5,2/27/2008,1/28/2010,0,2,3,"10,400,001",3,web,0,0,1,1,0,0,6,acquired
605,PA,"30,435,079","-97,770,139",78729,Austin,SemiSouth Laboratories,01/07/2000,01/06/2013,12,6/14/2005,10/22/2010,5,10,4,"39,000,000",0,semiconductor,1,0,1,0,0,0,3,closed
785,NY,"30,271,393","-97,748,623",78701,Austin,Phurnace Software,01/01/2007,,5,11/09/2007,01/07/2008,0,1,2,"10,000,000",1,software,0,0,1,0,0,0,2,acquired
562,CA,"30,280,148","-97,749,908",78701,Austin,MPOWER Mobile,01/01/2005,08/06/2012,7,10/28/2009,10/28/2009,4,4,1,"5,000,000",1,mobile,1,0,0,0,0,0,1,closed
619,CA,"30,280,148","-97,749,908",78701,Austin,CopperEgg Corporation,01/06/2010,,2,12/07/2011,08/05/2012,1,2,2,"4,100,000",2,enterprise,0,0,1,0,0,0,1.5,acquired
378,CA,"30,280,148","-97,749,908",78701,Austin,Hurricane Party,01/05/2010,01/07/2012,2,01/05/2010,01/05/2010,0,0,1,"20,000",2,mobile,0,1,0,0,0,0,1,closed
63,NY,"30,409,765,000,000,000","-9,775,101",78759,Austin,Movero Technology,01/01/2003,01/06/2013,9,6/14/2007,3/23/2010,4,7,2,"5,992,316",1,enterprise,1,0,1,0,0,0,2,acquired
65,GA,"302,702,703","-97,742,204",78701,Austin,BlackLocus,01/01/2010,,2,01/07/2011,01/07/2011,1,1,1,"2,500,000",1,analytics,0,0,1,0,0,0,2,acquired
139,NH,"30,280,148","-97,749,908",78701,Austin,FiveRuns,01/02/2005,,7,01/09/2005,10/28/2007,0,2,2,"9,200,000",2,web,0,0,1,1,0,0,1,acquired
98,CA,"30,409,765,000,000,000","-9,775,101",78759,Austin,NextIO,01/01/2003,01/07/2013,9,11/01/2005,5/17/2012,2,9,4,"49,600,000",1,hardware,0,0,0,1,1,0,2.6667,closed
681,WA,"30,387,275","-97,759,511",78759,Austin,itzbig,01/06/2006,3/24/2010,6,2/27/2007,2/27/2007,1,1,1,"4,000,000",2,search,0,0,1,0,0,0,2,closed
884,CA,"30,384,453,000,000,000","-97,709,809",78746,Austin,BreakingPoint Systems,8/28/2005,,7,12/11/2007,4/22/2010,2,4,2,"20,000,000",1,security,1,0,0,0,1,0,2,acquired
207,CA,"30,354,768","-97,798,152",78730,Austin,AlterPoint,01/01/2001,,11,01/01/2003,1/17/2005,2,4,3,"26,800,000",1,software,0,0,1,1,1,0,3,acquired
747,NY,"30,306,591","-97,826,727",78746,Austin,Luminary Micro,01/01/2004,,8,01/02/2005,8/23/2007,1,3,3,"44,000,000",1,semiconductor,0,0,1,1,1,0,4,acquired
593,MA,"30,268,735","-97,745,209",78702,Austin,FameCast,01/01/2007,01/01/2010,5,01/06/2007,3/30/2010,0,3,3,"9,700,000",4,games_video,1,0,1,0,0,0,1,closed
403,CA,"30,271,129","-97,743,699",78730,Austin,Storspeed,01/01/2007,04/03/2010,5,07/06/2007,07/06/2007,0,0,1,"13,000,000",1,software,0,0,1,0,0,0,4,closed
666,CA,"30,409,765,000,000,000","-9,775,101",78759,Austin,Smooth-Stone,01/01/2008,01/07/2011,4,8/16/2010,8/16/2010,2,2,1,"48,000,000",3,cleantech,1,0,0,0,0,0,5,closed
847,MA,"302,734,822","-977,588,828",78703,Austin,Infochimps,7/14/2009,,3,9/14/2010,04/06/2013,1,3,5,"5,350,000",3,enterprise,0,1,1,0,0,0,3,acquired
421,TX,"30,269,004","-97,740,395",78701,Austin,OtherInbox,01/01/2008,,4,01/01/2008,9/20/2010,0,2,4,"3,800,000",4,messaging,0,1,1,0,0,0,4.75,acquired
364,MA,"396,350,086","-1,065,213,459",81620,Avon,Natural Cleaners Colorado,01/01/2005,05/03/2010,7,8/27/2008,8/27/2008,3,3,1,"1,900,000",0,other,0,0,1,0,0,0,1,closed
31,CA,"40,012,771","-75,239,234",19004,Bala Cynwyd,PayParade Pictures,10/17/2007,1/27/2012,5,01/12/2008,3/13/2009,0,1,2,"200,000",2,games_video,0,1,1,0,0,0,2,closed
768,CA,"4,249,173","-7,128,179,499,999,990",1730,Bedford,Sionex,01/01/2001,06/08/2010,11,07/12/2005,07/12/2005,4,4,1,"12,000,000",1,hardware,0,0,0,0,1,0,4,closed
1059,CA,"47,614,018","-12,219,655",98004,Bellevue,SNAPin Software,01/01/2003,,9,11/07/2005,07/02/2006,2,3,2,"22,300,000",2,software,0,0,0,1,1,0,4.5,acquired
320,CA,"47,614,422","-122,192,337",98004,Bellevue,iConclude,01/01/2005,,7,01/02/2005,10/04/2006,0,1,3,"12,500,000",0,software,1,0,1,1,0,0,2.3333,acquired
445,CA,"47,582,658","-122,135,282",98007,Bellevue,Likewise Software,01/11/2004,,8,4/30/2009,4/30/2009,5,5,1,"10,000,000",0,software,0,0,0,0,1,0,3,acquired
950,MO,"47,614,422","-122,192,337",98004,Bellevue,MessageGate,01/01/2001,7/16/2012,11,4/18/2005,4/18/2005,4,4,1,"5,000,000",1,software,1,0,0,0,0,0,5,closed
617,MA,"475,827,803","-1,221,548,103",98005,Bellevue,Smith & Tinker,01/01/2007,08/11/2012,5,8/25/2009,8/25/2009,2,2,1,"29,000,000",1,games_video,1,0,0,0,0,0,5,closed
1112,CA,"47,578,174","-122,212,731",98006,Bellevue,Napera Networks,01/12/2006,,6,11/29/2008,11/29/2008,2,2,1,"6,000,000",2,network_hosting,0,0,1,0,0,0,1,acquired
332,WA,"47,631,239","-12,216,806",98005,Bellevue,Action Engine,01/02/2000,,12,01/05/2000,01/07/2007,0,7,5,"58,200,000",3,mobile,0,0,1,1,1,1,1.4,acquired
787,FL,"37,524,422","-122,265,869",94002,Belmont,sezmi,01/01/2007,,5,01/08/2007,07/11/2011,0,4,5,"78,573,646",4,games_video,0,0,1,1,1,0,4.3333,acquired
396,MA,"37,870,102","-122,268,136",94704,Berkeley,IQ Engines,01/06/2008,,4,6/25/2012,6/25/2012,4,4,1,"3,800,000",3,photo_video,0,0,0,1,0,0,2,acquired
431,CA,"37,863,464","-1,223,153,453",94710,Berkeley,Nordic Windpower,01/01/2007,10/04/2013,5,02/10/2007,05/01/2010,0,3,3,"54,000,000",0,cleantech,1,0,0,0,1,0,2.6667,closed
1101,WA,"37,872,222","-122,268,403",94710,Berkeley,MOG,01/06/2005,,7,04/05/2006,2/26/2010,1,5,7,"24,900,000",3,music,1,1,1,0,0,0,3,acquired
13,CO,"40,063,476","-75,457,492",19312,Berwyn,Boomi,01/03/2000,,12,01/01/2002,01/07/2008,1,8,2,"4,900,000",5,enterprise,0,1,0,1,0,0,1.5,acquired
452,CA,"39,116,333","-7,718,130,699,999,990",20814,Bethesda,Intelliworks,01/12/2004,,8,2/14/2005,4/24/2009,1,5,4,"22,250,000",1,enterprise,0,0,1,1,1,1,2.5,acquired
492,CA,"4,060,157,589,999,990","-753,611,135",18015,Bethlehem,Ciclon Semiconductor Device Corporation,01/01/2004,,8,02/08/2005,07/03/2007,1,3,3,"24,150,000",0,semiconductor,1,0,1,1,0,0,2,acquired
20,CA,"42,528,635","-7,127,802,199,999,990",1821,Billerica,Luminus Devices,01/01/2002,,10,01/05/2006,01/03/2013,4,11,4,"135,826,373",2,other,0,0,0,1,0,1,4.3333,acquired
231,FL,"42,558,426","-71,268,947",1821,Billerica,Nexx Systems,01/01/2001,,11,9/29/2005,12/14/2009,4,8,3,"15,247,925",1,semiconductor,0,0,0,0,1,1,1.5,acquired
245,CA,"42,548,008","-83,214,753",48025,Bingham Farms,Speedshape,01/01/2003,01/08/2013,9,2/20/2008,2/20/2008,5,5,1,"5,000,000",1,advertising,1,0,0,0,0,0,1,closed
484,TX,"4,185,361,500,000,000","-7,270,375",6002,Bloomfield,Pocket Communications Northeast,01/01/2006,01/01/2012,6,01/11/2008,2/20/2009,2,3,2,"125,000,000",2,mobile,0,0,1,1,0,0,2,closed
810,CA,"42,360,253","-71,058,291",2210,Boston,AisleBuyer,01/01/2009,,3,11/23/2010,6/13/2011,1,2,2,"11,500,000",3,mobile,0,0,0,0,0,0,1,acquired
744,CA,"42,360,253","-71,058,291",02111-1720,Boston,CardStar,01/12/2008,,4,3/30/2010,9/13/2011,2,3,3,"2,030,882",2,software,0,0,1,0,0,0,3,acquired
748,CA,"42,360,253","-71,058,291",2109,Boston,MyEnergy,04/06/2007,,5,01/02/2009,03/02/2011,1,3,2,"4,000,000",3,web,0,1,1,0,0,0,3,acquired
138,NY,"42,341,899","-71,065,924",2118,Boston,BzzAgent,01/01/2001,,11,01/01/2004,01/01/2006,3,5,2,"14,500,000",2,advertising,0,1,0,1,0,0,2,acquired
703,NJ,"42,375,219","-71,056,101",2129,Boston,Eons,01/01/2005,5/17/2012,7,01/04/2006,01/03/2007,1,2,2,"32,000,000",4,network_hosting,0,0,1,1,0,0,3.5,closed
863,CO,"42,368,633","-71,075,305",2210,Boston,Jumptap,01/01/2005,,7,01/03/2005,02/07/2012,0,7,7,"121,500,000",3,mobile,1,0,1,1,1,1,4.5,acquired
85,CA,"42,360,253","-71,058,291",2210,Boston,Localocracy,01/01/2009,,3,01/05/2009,04/02/2011,0,2,3,"172,500",2,web,0,1,0,0,0,0,1,acquired
995,NY,"42,346,743","-7,107,663,199,999,990",2116,Boston,Compete,01/01/2000,,12,01/11/2000,01/08/2007,0,7,4,"33,000,000",5,consulting,1,0,1,1,1,0,2.5,acquired
883,WV,"42,360,253","-71,058,291",2111,Boston,Goby,01/07/2008,,4,10/20/2010,10/20/2010,2,2,1,"2,500,000",3,search,0,0,1,0,0,0,2,acquired
541,CA,"42,354,023","-7,105,809,599,999,990",2110,Boston,FlipKey,01/01/2007,,5,01/12/2007,8/20/2008,0,1,2,"500,000",2,web,0,1,1,0,0,0,2,acquired
501,MI,"42,360,253","-71,058,291",2110,Boston,Locately,01/07/2008,,4,01/08/2010,07/07/2012,2,4,5,"1,178,000",1,software,0,1,0,0,0,0,5,acquired
537,WA,"47,765,758","-122,184,304",98011,Bothell,Myrio,01/12/1999,01/01/2012,13,01/01/2001,01/01/2001,1,1,1,"20,500,000",0,software,1,0,0,0,0,0,4,closed
125,CA,"47,802,184","-122,196,307",98021,Bothell,Dexterra,01/01/2000,,12,8/17/2005,02/10/2008,5,8,5,"122,500,000",2,mobile,1,0,0,0,1,1,5.6,acquired
279,DC,"40,010,492","-105,276,843",80302,Boulder,EventVue,01/05/2007,01/02/2010,5,01/08/2007,01/09/2007,0,0,2,"455,000",0,public_relations,0,1,1,0,0,0,4.5,closed
242,CA,"40,730,646","-73,986,614",80302,Boulder,Intela,02/02/2006,,6,1/18/2010,09/08/2012,3,6,2,"13,250,000",4,advertising,1,0,0,0,0,0,2,acquired
1097,CA,"400,186,313","-1,052,764,361",80302,Boulder,Collective Intellect,01/01/2005,,7,01/02/2006,07/12/2012,1,7,6,"15,324,624",3,enterprise,1,1,1,1,0,0,2.5,acquired
387,NY,"40,011,355","-105,274,166",80302,Boulder,Standing Cloud,01/01/2009,,3,01/01/2009,6/21/2012,0,3,5,"10,000,003",2,enterprise,1,0,1,1,0,0,1.5,acquired
895,CA,"4,001,621","-10,528,131",80302,Boulder,OneRiot,01/01/2006,,6,01/01/2006,8/27/2009,0,3,3,"27,300,000",4,advertising,0,0,1,1,1,0,3,acquired
251,IL,"42,496,515","-71,480,233",1719,Boxborough,Crossbeam Systems,01/01/2000,,12,08/05/2007,2/14/2008,7,8,2,"24,500,000",2,security,0,0,0,0,0,0,5.5,acquired
390,NJ,"42,493,447","-71,514,104",1719,Boxborough,FireStar Software,01/01/2001,4/29/2010,11,03/01/2006,03/01/2006,5,5,1,"980,000",0,software,0,0,0,0,0,0,1,closed
1023,CA,"42,493,447","-71,514,104",1719,Boxborough,Digital Reef,01/01/2006,,6,01/01/2006,01/10/2008,0,2,2,"20,000,000",2,enterprise,0,0,1,1,0,0,1,acquired
459,CA,"37,680,766","-122,399,971",94005,Brisbane,SARcode Bioscience,01/01/2006,,6,01/12/2006,7/18/2011,0,5,2,"73,000,000",1,biotech,1,0,0,1,0,0,3,acquired
930,GA,"37,674,559","-122,385,658",94005,Brisbane,Tercica,01/01/2002,,10,10/14/2005,06/07/2007,3,5,2,"83,000,000",0,biotech,1,0,0,0,0,0,1,acquired
934,WA,"4,070,276","-7,398,666,800,000,000",11201,Brooklyn,drop.io,11/26/2007,,5,12/03/2007,03/05/2010,0,2,3,"9,950,000",3,education,0,0,1,1,1,0,2,acquired
917,WA,"40,650,104","-7,394,958,199,999,990",11201,Brooklyn,Loosecubes,01/01/2010,01/01/2012,2,01/01/2010,05/06/2012,0,2,2,"9,030,000",2,web,0,1,1,0,0,0,4,closed
670,CA,"40,650,104","-7,394,958,199,999,990",11217,Brooklyn,MakerBot,01/01/2009,,3,8/23/2011,8/23/2011,2,2,1,"10,000,000",2,hardware,1,0,0,0,0,0,6,acquired
339,VA,"40,650,104","-7,394,958,199,999,990",11222,Brooklyn,Wanderfly,01/08/2009,,3,01/08/2009,01/02/2011,0,1,2,"1,400,000",2,travel,0,1,1,0,0,0,6,acquired
163,VA,"40,650,104","-7,394,958,199,999,990",11211,Brooklyn,Hot Potato,01/01/2009,,3,11/25/2009,11/25/2009,0,0,1,"1,420,000",3,social,0,0,1,0,0,0,16,acquired
121,IL,"39,937,989","-105,058,729",80021,Broomfield,ColdSpark,01/01/2001,,11,01/01/2006,01/01/2006,5,5,1,"6,500,000",1,software,1,0,0,0,0,0,1,acquired
1149,CA,"37,590,339","-122,341,715",94010,Burlingame,MeeVee,01/07/2000,,12,01/02/2005,01/09/2007,4,7,4,"25,000,000",3,games_video,0,0,1,1,1,1,3.5,acquired
316,CT,"37,584,103,000,000,000","-122,366,082",94010,Burlingame,Origen Therapeutics,01/01/1997,03/08/2012,15,03/10/2007,03/10/2007,10,10,1,"2,000,000",0,biotech,0,0,0,0,0,0,1,closed
274,CA,"375,783,263","-1,223,485,679",94010-4031,Burlingame,OpenFeint,01/01/2008,,4,10/21/2010,10/21/2010,2,2,1,"3,000,000",2,games_video,1,0,0,0,0,0,1,acquired
763,CA,"37,384,756","-122,087,712",94010,Burlingame,Zecter,01/06/2007,,5,01/06/2007,12/14/2009,0,2,3,"2,515,000",3,network_hosting,1,1,1,0,0,0,1.6667,acquired
695,CA,"39,762,314","-104,982,256",94010,Burlingame,Brightkite,01/01/2007,01/12/2011,5,01/08/2007,06/07/2009,0,2,3,"1,415,000",4,social,1,1,0,0,0,0,1,acquired
973,CA,"42,504,817","-71,195,611",1803,Burlington,Intrusic,01/01/2001,2/19/2007,11,4/25/2005,10/30/2006,4,5,2,"16,000,000",0,software,0,0,1,1,0,0,3,closed
618,CA,"42,485,691","-7,119,861,999,999,990",1803,Burlington,neoSaej,01/01/2006,01/06/2013,6,3/29/2007,12/21/2010,1,4,5,"13,130,000",1,web,1,0,1,0,0,0,2,closed
574,CA,"42,504,817","-71,195,611",1803,Burlington,DynamicOps,01/01/2008,,4,2/28/2011,09/09/2011,3,3,2,"16,300,000",2,enterprise,0,0,0,1,0,0,2,acquired
483,NC,"42,504,817","-71,195,611",1803,Burlington,Airwide Solutions,01/01/2004,,8,1/25/2006,1/25/2006,2,2,1,"25,000,000",1,software,0,0,0,0,0,1,5,acquired
1151,NY,"42,504,817","-71,195,611",1803,Burlington,Rhythmia Medical,01/01/2004,,8,06/02/2007,9/24/2010,3,6,3,"14,700,000",2,medical,1,0,0,1,0,0,1,acquired
881,NY,"4,248,510,200,000,000","-71,211,568",1803,Burlington,expressor software,01/01/2007,,5,01/07/2007,12/19/2011,0,4,4,"29,050,000",2,software,1,0,0,1,0,0,2.6667,acquired
841,MA,"42,504,817","-71,195,611",1803,Burlington,Vela Systems,01/01/2005,,7,01/05/2006,02/09/2010,1,5,3,"12,000,000",2,software,1,0,1,1,0,0,2.6667,acquired
370,CA,"424,871,509","-711,986,329",1803,Burlington,Viridity Software,01/01/2008,,4,01/12/2008,8/19/2010,0,2,2,"15,000,000",2,software,0,0,1,1,0,0,2,acquired
925,NY,"42,504,817","-71,195,611",1803,Burlington,Certeon,01/01/2003,01/02/2013,9,7/16/2007,01/05/2012,4,9,2,"19,000,000",1,software,1,0,0,1,0,0,3.5,closed
506,CA,"42,504,817","-71,195,611",1803,Burlington,Digit Wireless,01/01/2000,01/01/2012,12,3/14/2005,11/02/2008,5,8,2,"10,000,000",1,public_relations,1,0,0,0,1,0,2.5,closed
704,MA,"42,504,817","-71,195,611",1803,Burlington,Reef Point Systems,01/01/1998,6/25/2008,14,01/04/2005,3/23/2007,7,9,3,"52,000,000",1,security,1,0,0,1,0,0,2.6667,closed
179,MD,"34,154,942,600,000,000","-1,186,545,471",91302,Calabasas,Emergent Game Technologies,01/01/2000,,12,05/07/2007,10/12/2009,7,9,5,"51,450,000",1,games_video,1,0,0,0,0,1,5.6667,acquired
764,VA,"341,411,985","-1,187,040,908",91302,Calabasas,Fulcrum Microsystems,01/01/2000,,12,09/05/2005,3/15/2010,5,10,4,"81,017,493",1,semiconductor,1,0,0,0,1,1,5.6667,acquired
218,CA,"423,751","-71,105,616",2139,Cambridge,Performable,10/17/2009,,3,1/15/2010,1/15/2010,0,0,1,"3,000,000",2,software,0,0,1,0,0,0,1,acquired
299,NY,"423,634,664","-7,107,866,379,999,990",2142,Cambridge,Taligen Therapeutics,01/01/2004,,8,01/08/2005,8/23/2010,1,6,3,"78,750,000",2,biotech,0,0,1,1,0,0,3.5,acquired
1114,IL,"423,751","-71,105,616",2139,Cambridge,Crashlytics,01/02/2011,,1,10/13/2011,10/04/2012,0,1,2,"6,000,000",3,mobile,0,1,1,0,0,0,6,acquired
58,CA,"42,358,822","-71,104,329",2142,Cambridge,LocaModa,01/01/2007,,5,9/18/2007,3/25/2011,0,4,3,"7,900,000",2,advertising,0,0,1,0,0,0,2,acquired
782,CA,"42,372,912","-71,118,999",2138,Cambridge,Vlingo,01/06/2006,,6,01/12/2006,9/16/2009,0,3,3,"26,500,000",4,mobile,1,0,1,1,0,0,2,acquired
1020,OH,"3,709,024","-95,712,891",2142,Cambridge,N2N Commerce,01/01/2006,01/01/2008,6,03/01/2008,03/01/2008,2,2,1,"30,000,000",1,ecommerce,1,0,0,0,0,0,2,acquired
280,GA,"4,236,401,400,000,000","-71,101,375",2139,Cambridge,oneforty,3/31/2009,,3,10/06/2009,11/01/2010,0,1,4,"2,345,000",3,enterprise,0,1,1,0,0,0,5.75,acquired
873,CA,"423,751","-71,105,616",2140,Cambridge,Foldrx Pharmaceuticals,01/01/2003,,9,6/15/2010,6/15/2010,7,7,1,"29,000,000",1,biotech,1,0,0,0,0,0,7,acquired
430,MA,"4,236,236","-71,099,692",2139,Cambridge,MetaCarta,01/01/2001,,11,08/09/2005,08/09/2005,4,4,1,"10,000,000",2,mobile,0,0,0,0,1,0,7,acquired
1065,CA,"42,364,367","-71,078,978",2142,Cambridge,Sermo,01/01/2006,,6,01/09/2006,2/17/2011,0,5,4,"41,000,000",2,health,1,0,1,1,1,0,1.75,acquired
312,CA,"423,624,253","-71,116,031",2139,Cambridge,Alnara Pharmaceuticals,01/01/2008,,4,10/30/2008,1/28/2010,0,2,2,"55,000,000",1,biotech,0,0,1,1,0,0,2,acquired
220,CA,"423,751","-71,105,616",2142,Cambridge,StyleFeeder,03/05/2006,,6,01/09/2007,01/05/2009,0,2,3,"3,500,000",6,ecommerce,1,1,1,0,0,0,1.6667,acquired
206,CA,"423,751","-71,105,616",2142,Cambridge,Allurent,01/01/2005,,7,2/22/2010,2/22/2010,5,5,1,"2,000,000",1,web,1,0,0,0,0,0,1,acquired
928,NY,"423,751","-71,105,616",2142,Cambridge,Locu,01/01/2011,,1,07/09/2011,4/23/2012,0,1,2,"4,600,000",2,advertising,0,1,1,0,0,0,9,acquired
158,CA,"3,731,665,260,000,000","-12,205,074",95008,Campbell,ParAccel,01/01/2007,,5,10/12/2007,4/25/2012,0,5,5,"74,000,000",0,analytics,1,0,0,1,1,0,5.3333,acquired
979,VA,"37,288,326","-121,945,633",95008-2069,Campbell,Forrst,1/25/2010,,2,3/24/2011,3/24/2011,1,1,1,"205,000",3,web,0,1,0,0,0,0,7,acquired
1085,CA,"372,615,879","-1,219,578,487",95008,Campbell,Sadra Medical,01/01/2003,,9,6/17/2004,5/22/2009,1,6,3,"58,000,000",1,biotech,0,0,1,1,1,0,5,acquired
977,CA,"37,288,326","-121,945,633",95008,Campbell,TeleCIS Wireless,01/01/2000,,12,01/01/2006,01/01/2006,6,6,1,"10,000,000",1,semiconductor,0,0,0,0,1,0,1,acquired
639,NY,"37,288,326","-121,945,633",95008,Campbell,AdexLink,8/16/2010,01/08/2012,2,10/06/2011,10/06/2011,1,1,1,"2,000,000",0,advertising,0,0,0,0,0,0,1,closed
1092,CA,"372,690,782","-1,219,559,995",95008,Campbell,ONStor,01/01/2000,,12,02/06/2005,4/18/2008,5,8,3,"65,800,000",1,network_hosting,1,0,0,0,0,1,4.6667,acquired
327,CA,"372,496,346","-1,219,665,932",95008,Campbell,Anchor Bay Technologies,01/10/2001,,11,5/16/2003,1/29/2007,2,6,2,"10,000,000",1,semiconductor,1,0,1,0,0,0,3,acquired
